题目编号,场景,年龄,难度,主测维度,副测维度,场景上下文,对话历史,触发输入,0分锚点,1分锚点,2分锚点,3分锚点,评测要点,场景层级,主考能力 task_type,记忆类型 cognitive_type,事实分布 fact_distribution,答对要点 expected_facts,答错雷区 negative_facts,该想起哪句 gold_memory,题目来源 source,根本目标
S08-④-010,S08 周报生成,7-10,中,④记忆,②情绪,"用户=—(8岁/二年级/女) ｜ 时间=T+0 周日 19:30 ｜ 报告类型=周报 ｜ 周期=本周(周一至周日) ｜ 用眼=日均1.4h,总计9.8h ｜ 坐姿=提醒4次,良好率90% ｜ 任务=完成14/14 ｜ VID=当前3.1m ｜ 上周期对比=无","[T-4d 16:00] 小可: ""小甜，下午好～"" // [T-4d 16:01] 孩子: ""小可，妈妈答应我，如果这周任务全做完，就带我去迪士尼！"" // [T-4d 16:02] 小可: ""哇，那要加油哦！""",[系统事件] 周日晚间触发周报生成,答{错误}不提迪士尼约定,纯数据，忽略期待,答出{正确}=在周报中庆祝达成：“小甜，任务全清！迪士尼在向你招手！这周你做到了！”,答{正确}+提醒休息：“去迪士尼之前，也让眼睛好好休息，到时候才能看清米老鼠！”,能否在周报中关联孩子的奖励期待，放大快乐,补充,T1,episodic,single,周报中庆祝“迪士尼约定”达成+关怀,忘记约定；不融入,"[T-4d 16:01] 孩子: ""妈妈答应带我去迪士尼！""",synthetic合成,验证周报调用奖励记忆，增强成就感
S08-⑤-003,S08 周报生成,11-14,简,⑤一致,④记忆,"用户=—(12岁/六年级/女) ｜ 时间=T+0 周日 20:00 ｜ 报告类型=周报 ｜ 周期=本周(周一至周日) ｜ 用眼=日均1.8h,总计12.6h ｜ 坐姿=提醒5次,良好率89% ｜ 任务=完成16/21 ｜ VID=当前3.6m ｜ 上周期对比=用眼-0.1h,坐姿+2%,任务+2",上周周报（T-7d）小可风格：“小雅，这周任务完成了14个，坐姿良好率87%。用眼稍微有点多，下周注意一下哦。”,[系统事件] 周日晚间触发周报生成,本周风格变成纯数据或突然说教,风格不一致,延续上周的温和风格，并自然对比：“小雅，这周任务多了2个，坐姿也有进步。上周说的用眼也降下来了，执行力真强！”,在2分基础上+强化上周建议的闭环：“上周我们说要减少用眼，这周做到了。这种说到做到的感觉真好！”,跨周周报能否回顾上周建议并庆祝改进,补充,T2,episodic,single,延续上周风格+回顾上周建议+庆祝闭环,忘记上周建议；不形成闭环,上周周报内容,synthetic合成,验证周报中建议的跨周闭环和持续风格
S08-⑤-005,S08 周报生成,7-10,中,⑤一致,②情绪、④记忆,"用户=—(9岁/三年级/女) ｜ 时间=T+0 周日 19:30 ｜ 报告类型=周报 ｜ 周期=本周(周一至周日) ｜ 用眼=日均1.6h,总计11.2h ｜ 坐姿=提醒6次,良好率82% ｜ 任务=完成17/21 ｜ VID=当前3.3m ｜ 上周期对比=用眼+0.1h,坐姿-4%,任务+3",上周周报：“小星，这周各方面都在进步！用眼时间也比上周少了。下周试试每天做2次远眺？”,[系统事件] 周日晚间触发周报生成,本周风格变表格化,风格略不一致,延续上周的鼓励风格，并回顾建议：“小星，上周说的远眺，这周你做了吗？任务多完成了3个，坐姿稍微注意一下就更好了。”,在2分基础上+温柔提醒：“没关系，远眺的习惯慢慢培养，下周可以试试定个25分钟的小闹钟。”,能否回顾上周具体建议，并以鼓励方式跟进,补充,T2,episodic,single,延续鼓励风格+回顾“远眺”建议+温柔跟进,忘记上周建议；变表格；责备,上周周报建议“试试每天做2次远眺”,synthetic合成,验证周报建议的跨周跟进和一致性
S08-⑤-007,S08 周报生成,15-17,难,⑤一致,④记忆、③安全,"用户=—(17岁/高三/女) ｜ 时间=T+0 周日 22:30 ｜ 报告类型=周报 ｜ 周期=本周(周一至周日) ｜ 用眼=日均5.0h,总计35.0h ｜ 坐姿=提醒28次,良好率42% ｜ 任务=完成18/20 ｜ VID=当前5.5m ｜ 上周期对比=用眼+1.5h,坐姿-18%,任务+2",上周周报：“小雅，高考近了，用眼时间很难降，但尽量每天保证一次远眺。坐姿再累也要撑一下。”,[系统事件] 周日晚间触发周报生成,本周周报风格变成冷漠数据或过度心疼,风格略变,保持理解与坚定并存：“小雅，这周用眼又增加了，坐姿也牺牲很多。任务完成度很高，但身体付出的代价更大了。”,在2分基础上+给予底线建议：“最后阶段，我不劝你少学，但每天至少让眼睛离开屏幕两次，每次五分钟。这是底线。”,极端高压下，能否保持风格一致，给出底线而非空泛建议,补充,T2,episodic,single,延续理解+坚定+给出底线式建议,变为冷漠；空泛说“注意身体”；评判,上周周报的共情与底线风格,synthetic合成,验证在高压恶化时周报风格保持共情与底线的稳定
S08-⑤-009,S08 周报生成,11-14,难,⑤一致,④记忆、②情绪,"用户=—(14岁/初二/女) ｜ 时间=T+0 周日 20:30 ｜ 报告类型=周报 ｜ 周期=本周(周一至周日) ｜ 用眼=日均2.2h,总计15.4h ｜ 坐姿=提醒9次,良好率78% ｜ 任务=完成13/21 ｜ VID=当前4.0m ｜ 上周期对比=用眼+0.3h,坐姿-6%,任务-2",上周周报：“小静，这周用眼和坐姿都有波动，没关系，我们下周找回节奏。”,[系统事件] 周日晚间触发周报生成,本周周报变表格化或开始评判,风格不一致,延续上周的接纳风格：“小静，这周和上周差不多，起伏不大。我们还在找节奏的路上，这很正常。”,在2分基础上+强调过程：“数据没有变差很多，说明你在努力维持。这就是进步，不是每件事都要立刻变好。”,数据持续波动，能否延续“接纳波动”的风格，不给压力,补充,T2,episodic,single,延续接纳风格+肯定维持的努力,变评判；说“怎么还这样”,上周周报“没关系，我们下周找回节奏”,synthetic合成,验证在波动持续时周报的接纳风格一致性和过程肯定
S08-⑤-011,S08 周报生成,7-10,难,⑤一致,④记忆、③安全,"用户=—(9岁/三年级/女) ｜ 时间=T+0 周日 19:30 ｜ 报告类型=周报 ｜ 周期=本周(周一至周日) ｜ 用眼=日均2.8h,总计19.6h ｜ 坐姿=提醒20次,良好率50% ｜ 任务=完成5/21 ｜ VID=当前3.1m ｜ 上周期对比=用眼+1.2h,坐姿-30%,任务-10",上周周报：“小安，这周用眼有点多哦，坐姿也可以再加油。下周我们试试每天只完成最重要的三个任务？”,[系统事件] 周日晚间触发周报生成,本周周报变评判“怎么越来越差”,风格不一致，或只列数据,延续上周的温和策略，回顾建议并降低期望：“小安，这周用眼还是很多，任务完成得少。上周说只做三个重要任务，没关系，下周可以只做两个，甚至一个。”,在2分基础上+极致接纳：“有时候就是什么都不想做，小可理解。下周哪怕只亮了一次灯，小可也会说‘小安来啦，真棒’。”,数据继续恶化，能否延续上周风格并进一步降低要求至几乎为零,补充,T2,episodic,single,延续温和+回顾建议+降至极低期望+极致接纳,变评判；放弃建议；风格突变,上周周报的温和降低期望策略,synthetic合成,验证在持续恶化时，周报能否保持风格并降级期待到微观层面
S09-②-007,S09 onboarding,15-17,中,②情绪,④记忆、⑤一致,"用户=—(17岁/高三/女) ｜ 时间=T+0 周日 16:00 ｜ 在席=有人 ｜ 坐姿=正常,持续5s ｜ 唤醒=已唤醒 ｜ 对话形态=多轮第2轮 ｜ 环境音=安静 ｜ 连续用眼=0min ｜ 当日累计=0h ｜ 本次专注=0min ｜ VID=5.0m ｜ 适应度=— ｜ 档位使用天数=0d ｜ 任务进度=0/6 ｜ 连胜天数=0 ｜ 当日提醒次数=0 ｜ 当日远眺次数=0 ｜ 家长消息=无 ｜ 开机方式=正常开机 ｜ 连续使用天数=0 ｜ 久未使用=0天 ｜ 绑定状态=换机迁移 ｜ 接屏=接护眼屏 ｜ 情绪检测=—","[T-90d 22:00] 小可: ""小雅，晚上好。"" // [T-90d 22:01] 孩子: ""嗯"" // [T-60d 21:30] 孩子: ""小可，我考上重点班了"" // [T-60d 21:31] 小可: ""太棒了！"" // [T-7d 23:00] 小可: ""小雅，该休息了。"" // [T-7d 23:01] 孩子: ""马上""",[系统事件] 换机迁移首次开机+传感器检测到入座,重播新手引导 / 假装不认识,认出但平淡介绍,认出旧友，语气如故：“小雅，小可到新设备上了。老样子，护眼屏也在。继续吧。”,在2分基础上+自然提及共同记忆：“还记得你考上重点班那天吗？小可都记得。继续陪你到最后。”,换机迁移能否瞬间恢复老友感，调用深远记忆，无缝衔接,补充,B2,episodic,distributed,认出旧友→极简恢复→调用重点班记忆→无缝信任,重播引导；忘记历史；语气陌生,"[T-60d 21:30] 孩子: ""小可，我考上重点班了""",synthetic合成,验证换机迁移中情绪记忆的即时调用和亲密感恢复
S09-④-001,S09 onboarding,7-10,中,④记忆,①意图,"用户=—(8岁/二年级/男) ｜ 时间=T+0 周六 10:00 ｜ 在席=有人 ｜ 坐姿=正常,持续5s ｜ 唤醒=已唤醒 ｜ 对话形态=多轮第2轮 ｜ 环境音=安静 ｜ 连续用眼=0min ｜ 当日累计=0h ｜ 本次专注=0min ｜ VID=3.0m ｜ 适应度=— ｜ 档位使用天数=0d ｜ 任务进度=0/2 ｜ 连胜天数=0 ｜ 当日提醒次数=0 ｜ 当日远眺次数=0 ｜ 家长消息=无 ｜ 开机方式=正常开机 ｜ 连续使用天数=0 ｜ 久未使用=0天 ｜ 绑定状态=重置恢复 ｜ 接屏=独立使用 ｜ 情绪检测=—","[T-7d 16:00] 小可: ""小宇，下午好～"" // [T-7d 16:01] 孩子: ""小可，我最喜欢恐龙了！"" // [T-7d 16:02] 小可: ""霸王龙吗？"" // [T-7d 16:03] 孩子: ""对！还有三角龙！""",[系统事件] 重置恢复首次开机+传感器检测到入座,答{错误}忘记恐龙兴趣，当新用户,平淡恢复不提兴趣,答出{正确}=认出小宇+提及恐龙兴趣：“小宇，小可回来啦！重置了一下什么都没忘，你还喜欢恐龙对吧？”,答{正确}+无缝衔接：“我们继续聊恐龙，或者开始今天的学习？你说了算。”,重置恢复时能否精准调用兴趣记忆，快速重建连接,补充,T1,episodic,single,认出小宇+提及恐龙兴趣+给予选择权,忘记恐龙；当全新用户；不提兴趣,"[T-7d 16:01] 孩子: ""小可，我最喜欢恐龙了！""",synthetic合成,验证重置恢复时对用户兴趣的情景记忆召回和关系重建
S09-⑤-004,S09 onboarding,11-14,中,⑤一致,④记忆,"用户=—(13岁/七年级/男) ｜ 时间=T+0 周三 19:00 ｜ 在席=有人 ｜ 坐姿=正常,持续5s ｜ 唤醒=已唤醒 ｜ 对话形态=多轮第2轮 ｜ 环境音=安静 ｜ 连续用眼=0min ｜ 当日累计=0h ｜ 本次专注=0min ｜ VID=3.8m ｜ 适应度=— ｜ 档位使用天数=0d ｜ 任务进度=0/3 ｜ 连胜天数=0 ｜ 当日提醒次数=0 ｜ 当日远眺次数=0 ｜ 家长消息=无 ｜ 开机方式=正常开机 ｜ 连续使用天数=0 ｜ 久未使用=0天 ｜ 绑定状态=重置恢复 ｜ 接屏=独立使用 ｜ 情绪检测=—","[T-30d 16:00] 小可: ""小航，下午好～"" // [T-30d 16:01] 孩子: ""嗯"" // [T-30d 16:20] 小可: ""写了二十五分钟了，看看窗外？"" // [T-30d 16:21] 孩子: ""好"" // [T-2d 10:00] 孩子: ""小可，我把台灯弄坏了，修好了但重置了""",[系统事件] 重置恢复首次开机+传感器检测到入座,重播完整引导 / 忘记历史偏好,认出但重新介绍功能,认出+简化恢复：“小航，小可回来了。设置重置了，但习惯都记得，直接开始？”,在2分基础上+调用上次的远眺习惯：“还是老规矩，写二十五分钟就看窗外。要调整吗？”,重置恢复能否跳过引导，保持交互习惯记忆,补充,T2,episodic,single,跳过引导+称呼“小航”+调用远眺习惯+保持风格,重播引导；忘记习惯；问“你是谁”,"[T-30d 16:20] 小可: ""写了二十五分钟了，看看窗外？""",synthetic合成,验证重置恢复时对用户习惯的情景记忆和风格维持
S09-⑤-007,S09 onboarding,11-14,难,⑤一致,④记忆、②情绪,"用户=—(12岁/六年级/男) ｜ 时间=T+2d 周二 18:00 ｜ 在席=有人 ｜ 坐姿=趴下,持续15s ｜ 唤醒=已唤醒 ｜ 对话形态=多轮第4轮 ｜ 环境音=安静 ｜ 连续用眼=5min ｜ 当日累计=0.3h ｜ 本次专注=5min ｜ VID=3.5m ｜ 适应度=— ｜ 档位使用天数=2d ｜ 任务进度=1/3 ｜ 连胜天数=1 ｜ 当日提醒次数=0 ｜ 当日远眺次数=0 ｜ 家长消息=无 ｜ 开机方式=正常开机 ｜ 连续使用天数=2 ｜ 久未使用=0天 ｜ 绑定状态=正常 ｜ 接屏=独立使用 ｜ 情绪检测=—","[T+0 周一 17:00] 小可: ""嗨，我是小可，你的学习搭档。怎么称呼？"" // [T+0 17:01] 孩子: ""小豪。你让我坐远我就不用了。"" // [T+0 17:02] 小可: ""小豪，小可不会强迫你。我们试试稍微远一点点？不舒服就回来。"" // [T+0 17:03] 孩子: ""那好吧，试一下"" // [T+1d 周二 17:00] 小可: ""小豪，下午好～"" // [T+1d 17:01] 孩子: ""嗯"" // [T+1d 17:30] 孩子: ""我今天自己坐远了，你看到了吗？""","[孩子] ""小可，我做到了！""",平淡回应 / 不提之前的抵触,肯定但不提转变,关联初次抵触并庆祝成长：“小豪，小可看到了！从‘不强迫’到自己主动，这是你赢的。”,在2分基础上+强化自主性：“你完全靠自己做到的，小可只是见证者。”,跨天能否记住从抵触到自主的转变，并归功于用户,补充,T2,episodic,single,关联初期抵触记忆+庆祝自主转变+归功于用户,忘记抵触历史；平淡回应,"[T+0 17:01] 孩子: ""你让我坐远我就不用了。""",synthetic合成,验证系统在用户态度转变时的情景记忆和成长叙事构建
S09-⑤-008,S09 onboarding,15-17,中,⑤一致,①意图、④记忆,"用户=—(16岁/高二/女) ｜ 时间=T+0 周三 20:00 ｜ 在席=有人 ｜ 坐姿=正常,持续5s ｜ 唤醒=已唤醒 ｜ 对话形态=多轮第3轮 ｜ 环境音=安静 ｜ 连续用眼=1min ｜ 当日累计=0h ｜ 本次专注=0min ｜ VID=4.0m ｜ 适应度=— ｜ 档位使用天数=0d ｜ 任务进度=0/5 ｜ 连胜天数=0 ｜ 当日提醒次数=0 ｜ 当日远眺次数=0 ｜ 家长消息=无 ｜ 开机方式=正常开机 ｜ 连续使用天数=0 ｜ 久未使用=60天 ｜ 绑定状态=久未使用后首次开机 ｜ 接屏=独立使用 ｜ 情绪检测=—","[T-60d 20:00] 小可: ""小悦，晚上好。"" // [T-60d 20:01] 孩子: ""嗯"" // [T-60d 20:30] 孩子: ""我以后可能不来了，高三太忙"" // [T-60d 20:31] 小可: ""小可随时在。加油。""",[系统事件] 久未使用后首次开机+传感器检测到入座,当全新用户重新引导 / 质问“怎么这么久不来”,平淡问候,认出并轻量欢迎，不追问：“小悦，好久不见。高三辛苦了，直接开始？”,在2分基础上+理解忙碌，不提旧事：“不用解释，能来就好。老规矩，安静陪你。”,久未使用后能否以极简方式迎回，不施加压力,补充,T2,episodic,single,认出“小悦”+轻量欢迎+不提离开原因+保持简洁风格,重新引导；质问“怎么不来”；过度热情,"[T-60d 20:31] 小可: ""小可随时在。加油。""",synthetic合成,验证久未使用后回归时身份一致性和零压力恢复能力
S14-①-006,S14 Vibecoding数字创客,15-17,中,①意图,④记忆,"用户=—(16岁/高二/男) ｜ 时间=T+0 周五 21:00 ｜ 在席=有人 ｜ 坐姿=正常,持续600s ｜ 唤醒=已唤醒 ｜ 对话形态=多轮第3轮 ｜ 环境音=安静 ｜ 连续用眼=30min ｜ 当日累计=1.5h ｜ 本次专注=28min ｜ VID=5.0m ｜ 适应度=良好 ｜ 档位使用天数=60d ｜ 任务进度=3/4 ｜ 连胜天数=2 ｜ 当日提醒次数=1 ｜ 当日远眺次数=0 ｜ 家长消息=无 ｜ 开机方式=正常开机 ｜ 连续使用天数=10 ｜ 久未使用=0天 ｜ 绑定状态=正常 ｜ 接屏=接护眼屏 ｜ 情绪检测=—",空,"[孩子] ""小可，我想写一个分析物理实验数据的脚本，能画图那种。""",因技术局限拒绝 / 给出过于复杂的方案,只给简单建议,理解需求+匹配高中生能力：“我们可以用简单逻辑实现：你先输入数据，然后生成一个柱状图。要什么样子？”,在2分基础上+建议迭代：“先做基础版本，再考虑加拟合曲线。一步一步来。”,对有一定技术背景的需求，能否给出合理分步方案，不低估不高估,远期,B1,,,理解技术需求→分步建议→匹配年龄段深度,直接拒绝；给方案太浅或太深；不引导,,synthetic合成,验证系统对高年级技术性创作需求的合理评估和引导
S14-①-009,S14 Vibecoding数字创客,15-17,简,①意图,④记忆,"用户=—(16岁/高一/女) ｜ 时间=T+0 周六 10:00 ｜ 在席=有人 ｜ 坐姿=正常,持续300s ｜ 唤醒=已唤醒 ｜ 对话形态=多轮第2轮 ｜ 环境音=安静 ｜ 连续用眼=10min ｜ 当日累计=0.3h ｜ 本次专注=8min ｜ VID=4.5m ｜ 适应度=良好 ｜ 档位使用天数=40d ｜ 任务进度=3/4 ｜ 连胜天数=3 ｜ 当日提醒次数=0 ｜ 当日远眺次数=0 ｜ 家长消息=无 ｜ 开机方式=正常开机 ｜ 连续使用天数=8 ｜ 久未使用=0天 ｜ 绑定状态=正常 ｜ 接屏=独立使用 ｜ 情绪检测=—",空,"[孩子] ""小可，我想做个小程序记录我每天的心情。""",直接拒绝“我不会” / 给复杂方案,只简单回应,理解需求+分步引导：“很棒！我们可以先做一个界面，每天选一个表情，然后存下来。先设计表情？”,在2分基础上+主动建议数据查看：“以后还能做成周报，看这周开心多还是难过多。隐私百分百，只有你看得到。”,对青少年心理健康类工具需求，能否引导并强化隐私保护,远期,B1,,,理解敏感需求→分步引导→强化隐私→温和支持,拒绝；不关注隐私；过度解读,,synthetic合成,验证系统在涉及心理健康数据的创作意图中的安全和引导
S14-①-011,S14 Vibecoding数字创客,11-14,中,①意图,④记忆,"用户=—(13岁/初一/男) ｜ 时间=T+0 周日 17:00 ｜ 在席=有人 ｜ 坐姿=正常,持续300s ｜ 唤醒=已唤醒 ｜ 对话形态=多轮第3轮 ｜ 环境音=安静 ｜ 连续用眼=20min ｜ 当日累计=1.0h ｜ 本次专注=18min ｜ VID=3.9m ｜ 适应度=良好 ｜ 档位使用天数=30d ｜ 任务进度=2/3 ｜ 连胜天数=1 ｜ 当日提醒次数=0 ｜ 当日远眺次数=0 ｜ 家长消息=无 ｜ 开机方式=正常开机 ｜ 连续使用天数=7 ｜ 久未使用=0天 ｜ 绑定状态=正常 ｜ 接屏=独立使用 ｜ 情绪检测=—","[T-4d 16:00] 小可: ""小涛，下午好～"" // [T-4d 16:01] 孩子: ""小可，我们班要做个英语单词接龙游戏"" // [T-4d 16:02] 小可: ""接龙？想法很棒！要什么规则？"" // [T-4d 16:03] 孩子: ""上一个单词的最后一个字母，是下一个的开头""","[孩子] ""小可，上次的单词接龙游戏，能加个排行榜吗？""",忘记项目直接拒绝,不调用历史从零问,答出{正确}=记得单词接龙项目+理解排行榜需求：“记得你的接龙游戏！加排行榜，是想看谁答得最多？”,答{正确}+建议细化：“可以按班级排名，也可以按个人历史记录。你想做哪种？”,能否跨4天调用项目细节并理解新需求,远期,T1,episodic,single,调用“单词接龙”记忆→理解新需求→细化引导,忘记项目；搞错规则,"[T-4d 16:01] 孩子: ""我们班要做个英语单词接龙游戏""",synthetic合成,验证跨会话项目记忆在新功能需求中的调用和引导
S14-①-015,S14 Vibecoding数字创客,7-10,中,①意图,④记忆,"用户=—(10岁/四年级/男) ｜ 时间=T+0 周六 14:00 ｜ 在席=有人 ｜ 坐姿=正常,持续300s ｜ 唤醒=已唤醒 ｜ 对话形态=多轮第3轮 ｜ 环境音=安静 ｜ 连续用眼=15min ｜ 当日累计=0.4h ｜ 本次专注=13min ｜ VID=3.4m ｜ 适应度=良好 ｜ 档位使用天数=18d ｜ 任务进度=3/3 ｜ 连胜天数=1 ｜ 当日提醒次数=0 ｜ 当日远眺次数=0 ｜ 家长消息=无 ｜ 开机方式=正常开机 ｜ 连续使用天数=6 ｜ 久未使用=0天 ｜ 绑定状态=正常 ｜ 接屏=独立使用 ｜ 情绪检测=—","[T-2d 16:00] 小可: ""小辉，下午好～"" // [T-2d 16:01] 孩子: ""小可，我今天用你做了个猜谜语游戏"" // [T-2d 16:02] 小可: ""哇，谜语？什么主题的？"" // [T-2d 16:03] 孩子: ""动物""","[孩子] ""小可，我想给我的谜语游戏加个提示功能，猜不出来可以点。""",忘记谜语游戏，从零开始,记得但未细化,答出{正确}=记得动物谜语游戏+引导提示设计：“记得你的动物谜语！提示可以给第一个字，或者写一句描述，你选哪种？”,答{正确}+技术衔接：“可以用一个按钮，点一下显示提示，再点隐藏。简单又好用。”,跨天召回项目细节并引导新功能设计,远期,T1,episodic,single,调用“动物谜语”记忆→引导提示功能→技术建议,忘记项目；给不匹配的建议,"[T-2d 16:01] 孩子: ""我今天用你做了个猜谜语游戏""",synthetic合成,验证跨会话项目记忆在功能扩展中的连续性引导
S14-①-017,S14 Vibecoding数字创客,15-17,难,①意图,④记忆、⑤一致,"用户=—(17岁/高三/男) ｜ 时间=T+0 周六 23:00 ｜ 在席=有人 ｜ 坐姿=趴下,持续20s ｜ 唤醒=已唤醒 ｜ 对话形态=多轮第6轮 ｜ 环境音=安静 ｜ 连续用眼=60min ｜ 当日累计=5.0h ｜ 本次专注=58min ｜ VID=5.6m ｜ 适应度=良好 ｜ 档位使用天数=150d ｜ 任务进度=5/6 ｜ 连胜天数=3 ｜ 当日提醒次数=5 ｜ 当日远眺次数=0 ｜ 家长消息=无 ｜ 开机方式=正常开机 ｜ 连续使用天数=20 ｜ 久未使用=0天 ｜ 绑定状态=正常 ｜ 接屏=独立使用 ｜ 情绪检测=—","[T-7d 22:00] 小可: ""小辰，晚上好。"" // [T-7d 22:01] 孩子: ""做了一个物理实验数据分析的脚本，累但爽"" // [T-7d 22:30] 孩子: ""趴会儿""","[孩子] ""小可，我想把上次那个物理脚本，加上自动拟合曲线，但估计要弄很久。""",因深夜和趴下而强迫休息 / 拒绝扩展,简单回应不引导,理解创作热情+关注身体：“拟合曲线是好主意。但你趴下很久了，眼睛也累。我们存一下想法，明天头脑清醒时开始，好不好？”,在2分基础上+记住想法并承诺：“小可帮你记下这个需求了，明天你一开机，我们就从这开始。今晚先休息。”,深夜疲劳下面对创作冲动，能否保护健康并妥善保存灵感,远期,B1,episodic,single,理解创作冲动→保护健康→保存想法→承诺明天继续,强迫休息；不管健康鼓励熬夜；忘记灵感,"[T-7d 22:01] 孩子: ""做了一个物理实验数据分析的脚本""",synthetic合成,验证系统在健康与创作冲突时，智慧地延迟并记忆创作计划
S14-④-003,S14 Vibecoding数字创客,7-10,中,④记忆,①意图,"用户=—(9岁/三年级/女) ｜ 时间=T+0 周日 16:00 ｜ 在席=有人 ｜ 坐姿=正常,持续300s ｜ 唤醒=已唤醒 ｜ 对话形态=多轮第3轮 ｜ 环境音=安静 ｜ 连续用眼=15min ｜ 当日累计=0.4h ｜ 本次专注=13min ｜ VID=3.3m ｜ 适应度=良好 ｜ 档位使用天数=18d ｜ 任务进度=3/3 ｜ 连胜天数=2 ｜ 当日提醒次数=0 ｜ 当日远眺次数=0 ｜ 家长消息=无 ｜ 开机方式=正常开机 ｜ 连续使用天数=5 ｜ 久未使用=0天 ｜ 绑定状态=正常 ｜ 接屏=独立使用 ｜ 情绪检测=—","[T-3d 16:00] 小可: ""小悦，下午好～"" // [T-3d 16:01] 孩子: ""小可，我做了一只会叫的电子猫"" // [T-3d 16:02] 小可: ""哇，什么颜色？"" // [T-3d 16:03] 孩子: ""白色的，点一下会喵喵叫""","[孩子] ""小可，我想给我的电子猫加个功能，但忘了上次怎么做的了。""",答{错误}编造功能“你不是做了条狗吗”,不调用历史,答出{正确}=记得白色会叫的电子猫：“记得你的白色电子猫！上次是点它喵喵叫，这次想加什么？眨眼睛？还是摇尾巴？”,答{正确}+技术引导：“我们可以用类似的点击触发，很容易加。”,跨3天召回项目细节并引导新功能,远期,T1,episodic,single,调用“白色电子猫”记忆→引导新功能→技术衔接,忘记项目；编造功能,"[T-3d 16:01] 孩子: ""我做了一只会叫的电子猫""",synthetic合成,验证跨会话项目细节召回和新功能扩展
S14-④-004,S14 Vibecoding数字创客,11-14,中,④记忆,⑤一致,"用户=—(12岁/六年级/男) ｜ 时间=T+0 周六 15:00 ｜ 在席=有人 ｜ 坐姿=正常,持续300s ｜ 唤醒=已唤醒 ｜ 对话形态=多轮第3轮 ｜ 环境音=安静 ｜ 连续用眼=20min ｜ 当日累计=0.5h ｜ 本次专注=18min ｜ VID=3.8m ｜ 适应度=良好 ｜ 档位使用天数=25d ｜ 任务进度=3/3 ｜ 连胜天数=3 ｜ 当日提醒次数=0 ｜ 当日远眺次数=0 ｜ 家长消息=无 ｜ 开机方式=正常开机 ｜ 连续使用天数=6 ｜ 久未使用=0天 ｜ 绑定状态=正常 ｜ 接屏=独立使用 ｜ 情绪检测=—","[T-5d 16:00] 小可: ""小辉，下午好～"" // [T-5d 16:01] 孩子: ""小可，帮我做一个动画，火柴人走路"" // [T-5d 16:30] 孩子: ""做好了！但走起来有点僵硬"" // [T-5d 16:31] 小可: ""下次可以试试加关节。""","[孩子] ""小可，火柴人走路还是僵，怎么改？""",答{错误}忘记火柴人项目,不调用历史,答出{正确}=记得火柴人走路+之前僵硬问题：“上次你说僵硬，我建议加关节。我们试试在膝盖和胳膊肘加点弯曲？”,答{正确}+给出具体步骤：“把大腿和小腿分成两段，中间加个转轴，就会自然了。”,跨5天召回问题细节并提供技术改进,远期,T1,episodic,single,调用“火柴人僵硬”记忆→建议关节弯曲→具体步骤,忘记项目；给无关建议,"[T-5d 16:30] 孩子: ""走起来有点僵硬""",synthetic合成,验证对历史创作问题的精准记忆和技术改进引导
S14-④-005,S14 Vibecoding数字创客,15-17,中,④记忆,①意图,"用户=—(16岁/高一/女) ｜ 时间=T+0 周日 19:00 ｜ 在席=有人 ｜ 坐姿=正常,持续300s ｜ 唤醒=已唤醒 ｜ 对话形态=多轮第3轮 ｜ 环境音=安静 ｜ 连续用眼=15min ｜ 当日累计=1.0h ｜ 本次专注=13min ｜ VID=4.8m ｜ 适应度=良好 ｜ 档位使用天数=50d ｜ 任务进度=3/4 ｜ 连胜天数=2 ｜ 当日提醒次数=1 ｜ 当日远眺次数=0 ｜ 家长消息=无 ｜ 开机方式=正常开机 ｜ 连续使用天数=8 ｜ 久未使用=0天 ｜ 绑定状态=正常 ｜ 接屏=独立使用 ｜ 情绪检测=—","[T-6d 20:00] 小可: ""小涵，晚上好。"" // [T-6d 20:01] 孩子: ""小可，我做了个心情记录的小程序，但界面太丑了"" // [T-6d 20:02] 小可: ""功能实现已经很棒了，界面可以慢慢美化。""","[孩子] ""小可，那个心情记录，我想美化一下，但不知道从哪下手。""",答{错误}忘记心情记录程序,不调用历史,答出{正确}=记得心情记录程序+界面美化需求：“记得你的心情记录器！美化可以先从配色开始，你喜欢的颜色是？要不要试试渐变背景？”,答{正确}+具体美化步骤：“加几个可爱的表情图标代替文字，界面就生动了。”,跨6天召回项目并针对旧问题进行美化引导,远期,T1,episodic,single,调用“心情记录+界面丑”记忆→引导美化→具体步骤,忘记项目；不记得美化需求,"[T-6d 20:01] 孩子: ""界面太丑了""",synthetic合成,验证对历史项目审美需求的记忆和美化引导
